Filename,Node_Count,Tag_Count,Unique_Tag_Count,MOD_Depth_Count,Token_Count,Action_List_Len
340.html,160,160,10,22,19740,16
WebSight_5.html,20,20,12,6,649,4
655.html,57,57,14,10,6967,11
WebSight_276.html,29,29,13,6,766,7
WebSight_299.html,15,15,10,5,487,5
252.html,330,330,36,14,149432,49
WebSight_108.html,12,12,5,4,446,0
WebSight_221.html,36,36,17,8,1471,8
WebSight_83.html,18,18,10,6,882,4
194.html,195,195,27,15,28804,31
244.html,328,328,28,18,136024,29
WebSight_237.html,24,24,10,5,542,0
WebSight_95.html,26,26,13,6,1119,7
881.html,49,49,14,8,71236,11
WebSight_149.html,17,17,11,5,745,3
WebSight_260.html,11,11,6,3,436,1
585.html,457,457,18,14,11235,92
268.html,383,383,27,10,33476,140
WebSight_132.html,21,21,9,7,880,7
WebSight_56.html,18,18,6,6,1081,5
842.html,486,486,25,24,35263,78
WebSight_165.html,18,18,10,5,709,5
403.html,573,573,24,15,112967,159
WebSight_173.html,15,15,11,6,620,4
946.html,1394,1394,13,8,71914,767
WebSight_17.html,19,19,10,6,592,5
1135.html,49,49,10,7,8925,0
550.html,273,273,18,17,428905,20
58.html,1074,1074,41,14,93578,165
WebSight_124.html,15,15,6,5,561,0
1027.html,825,825,34,15,105939,91
WebSight_40.html,19,19,13,4,633,4
WebSight_37.html,19,19,8,4,626,1
1115.html,319,319,20,16,62490,35
WebSight_295.html,16,16,7,6,513,0
1050.html,453,453,29,20,127537,53
435.html,458,458,29,15,259587,72
WebSight_153.html,16,16,10,6,788,3
WebSight_9.html,18,18,12,6,580,5
WebSight_60.html,18,18,9,5,679,5
198.html,1072,1072,17,18,67520,258
931.html,132,132,17,14,186088,12
WebSight_104.html,15,15,7,5,856,3
WebSight_76.html,22,22,12,6,890,5
39.html,448,448,26,24,279020,30
WebSight_99.html,20,20,8,7,705,5
WebSight_112.html,22,22,11,4,817,4
WebSight_21.html,8,8,6,3,344,0
423.html,309,309,16,7,7206,8
1046.html,614,614,25,26,90494,54
WebSight_283.html,13,13,9,4,347,0
WebSight_145.html,13,13,8,6,569,2
1197.html,350,350,27,13,85615,96
WebSight_217.html,13,13,9,6,773,4
321.html,592,592,37,17,310807,88
1085.html,22,22,11,5,4446,2
WebSight_240.html,19,19,12,5,518,4
1206.html,335,335,19,10,23978,78
WebSight_169.html,8,8,3,4,660,0
WebSight_186.html,16,16,12,6,627,4
376.html,144,144,17,9,10653,33
WebSight_256.html,24,24,12,6,1178,9
54.html,77,77,13,7,5898,21
1139.html,408,408,23,30,453638,45
360.html,691,691,35,14,77220,67
WebSight_190.html,24,24,14,6,606,5
WebSight_201.html,27,27,10,7,869,5
WebSight_128.html,23,23,15,5,454,0
273.html,207,207,23,12,177048,52
WebSight_129.html,4,4,3,4,294,0
859.html,261,261,17,13,98475,55
WebSight_200.html,19,19,11,7,594,4
224.html,578,578,24,11,37207,68
WebSight_191.html,22,22,11,6,1114,8
WebSight_257.html,26,26,12,6,899,4
WebSight_168.html,19,19,10,6,679,5
WebSight_187.html,24,24,10,5,1112,4
1084.html,19,19,7,10,29700,2
WebSight_241.html,14,14,10,7,379,4
459.html,676,676,28,26,40944,119
WebSight_216.html,11,11,8,5,441,1
WebSight_144.html,14,14,7,5,464,2
834.html,1791,1791,26,25,71282,127
137.html,265,265,14,15,20188,127
1102.html,187,187,17,10,25601,22
WebSight_20.html,17,17,10,6,631,4
422.html,302,302,21,19,482118,49
1047.html,103,103,20,11,17589,32
588.html,1247,1247,43,30,225519,60
WebSight_282.html,16,16,7,3,430,0
WebSight_113.html,23,23,9,5,568,3
WebSight_77.html,7,7,6,3,579,2
38.html,197,197,21,9,84803,7
WebSight_98.html,26,26,11,6,1227,11
WebSight_105.html,17,17,11,6,715,4
WebSight_61.html,4,4,3,4,295,0
658.html,556,556,37,15,212750,146
WebSight_152.html,23,23,10,7,961,2
WebSight_8.html,26,26,11,5,616,7
WebSight_36.html,23,23,7,5,803,1
822.html,401,401,16,11,277381,129
WebSight_294.html,14,14,6,5,784,4
156.html,146,146,13,12,2881,27
WebSight_41.html,24,24,16,6,753,5
WebSight_125.html,17,17,12,5,556,1
WebSight_16.html,22,22,13,5,847,6
678.html,349,349,47,15,25330,18
WebSight_172.html,16,16,11,5,425,1
814.html,297,297,19,16,234556,53
1088.html,523,523,39,25,235635,114
WebSight_164.html,27,27,11,9,995,7
1175.html,139,139,11,6,5502,48
WebSight_57.html,20,20,10,5,566,1
WebSight_133.html,19,19,9,7,696,6
WebSight_261.html,23,23,11,6,631,5
707.html,559,559,27,18,65030,58
WebSight_148.html,13,13,9,5,406,1
WebSight_236.html,14,14,10,5,950,5
WebSight_94.html,15,15,9,4,449,0
880.html,80,80,19,9,4777,7
WebSight_220.html,14,14,7,5,790,4
WebSight_82.html,10,10,9,4,562,1
603.html,168,168,20,17,77011,37
WebSight_109.html,23,23,12,6,1050,4
WebSight_277.html,23,23,12,5,572,3
75.html,45,45,16,8,69782,9
1118.html,148,148,18,11,103173,37
WebSight_298.html,20,20,12,5,963,3
341.html,465,465,16,17,12177,103
WebSight_4.html,13,13,9,7,684,5
654.html,343,343,27,14,91909,68
825.html,1151,1151,31,25,50447,139
WebSight_31.html,17,17,11,4,408,0
WebSight_293.html,22,22,7,5,830,1
WebSight_155.html,21,21,11,5,857,3
WebSight_66.html,7,7,5,3,318,1
WebSight_89.html,21,21,11,6,642,5
WebSight_102.html,12,12,7,5,540,3
864.html,277,277,25,14,36084,71
WebSight_70.html,29,29,12,5,973,9
WebSight_114.html,19,19,10,6,603,4
WebSight_27.html,8,8,6,4,548,2
87.html,278,278,25,14,122430,35
WebSight_285.html,8,8,6,4,441,1
425.html,2809,2809,30,26,136265,353
WebSight_143.html,17,17,7,6,551,1
WebSight_211.html,19,19,12,5,563,4
WebSight_138.html,6,6,4,4,328,1
WebSight_246.html,20,20,9,5,756,6
1083.html,109,109,20,13,52200,16
370.html,208,208,25,12,123516,50
WebSight_180.html,25,25,9,7,654,1
52.html,299,299,33,15,114135,67
WebSight_250.html,17,17,11,7,631,5
223.html,684,684,22,11,47356,149
673.html,93,93,16,14,94097,14
WebSight_179.html,40,40,12,5,816,1
WebSight_196.html,16,16,6,5,859,4
1187.html,50,50,10,9,8641,3
WebSight_207.html,11,11,8,3,454,1
274.html,551,551,21,25,33763,78
203.html,6384,6384,22,13,232745,5
WebSight_3.html,28,28,12,7,1007,9
WebSight_159.html,34,34,13,8,1050,9
983.html,408,408,32,16,312018,56
WebSight_270.html,29,29,12,5,701,5
829.html,262,262,22,12,78149,24
595.html,218,218,29,14,154926,23
604.html,662,662,28,12,58571,193
WebSight_227.html,22,22,13,5,680,5
WebSight_85.html,9,9,4,6,358,0
WebSight_118.html,20,20,13,7,681,6
WebSight_231.html,23,23,9,6,846,4
868.html,90,90,11,10,15294,44
WebSight_93.html,13,13,9,4,629,1
184.html,52,52,7,7,46944,22
WebSight_266.html,21,21,9,4,897,5
995.html,103,103,15,8,23236,26
WebSight_289.html,12,12,6,3,420,1
WebSight_134.html,18,18,7,6,701,4
147.html,647,647,34,16,103446,117
WebSight_50.html,21,21,9,4,648,5
WebSight_163.html,14,14,9,5,331,0
