Filename,Token_Count
340.html,19740
WebSight_5.html,649
655.html,6967
WebSight_276.html,766
WebSight_299.html,487
252.html,149432
WebSight_108.html,446
WebSight_221.html,1471
WebSight_83.html,882
194.html,28804
244.html,136024
WebSight_237.html,542
WebSight_95.html,1119
881.html,71236
WebSight_149.html,745
WebSight_260.html,436
585.html,11235
268.html,33476
WebSight_132.html,880
WebSight_56.html,1081
842.html,35263
WebSight_165.html,709
403.html,112967
WebSight_173.html,620
946.html,71914
WebSight_17.html,592
1135.html,8925
550.html,428905
58.html,93578
WebSight_124.html,561
1027.html,105939
WebSight_40.html,633
WebSight_37.html,626
1115.html,62490
WebSight_295.html,513
1050.html,127537
435.html,259587
WebSight_153.html,788
WebSight_9.html,580
WebSight_60.html,679
198.html,67520
931.html,186088
WebSight_104.html,856
WebSight_76.html,890
39.html,279020
WebSight_99.html,705
WebSight_112.html,817
WebSight_21.html,344
423.html,7206
1046.html,90494
WebSight_283.html,347
WebSight_145.html,569
1197.html,85615
WebSight_217.html,773
321.html,310807
1085.html,4446
WebSight_240.html,518
1206.html,23978
WebSight_169.html,660
WebSight_186.html,627
376.html,10653
WebSight_256.html,1178
54.html,5898
1139.html,453638
360.html,77220
WebSight_190.html,606
WebSight_201.html,869
WebSight_128.html,454
273.html,177048
WebSight_129.html,294
859.html,98475
WebSight_200.html,594
224.html,37207
WebSight_191.html,1114
WebSight_257.html,899
WebSight_168.html,679
WebSight_187.html,1112
1084.html,29700
WebSight_241.html,379
459.html,40944
WebSight_216.html,441
WebSight_144.html,464
834.html,71282
137.html,20188
1102.html,25601
WebSight_20.html,631
422.html,482118
1047.html,17589
588.html,225519
WebSight_282.html,430
WebSight_113.html,568
WebSight_77.html,579
38.html,84803
WebSight_98.html,1227
WebSight_105.html,715
WebSight_61.html,295
658.html,212750
WebSight_152.html,961
WebSight_8.html,616
WebSight_36.html,803
822.html,277381
WebSight_294.html,784
156.html,2881
WebSight_41.html,753
WebSight_125.html,556
WebSight_16.html,847
678.html,25330
WebSight_172.html,425
814.html,234556
1088.html,235635
WebSight_164.html,995
1175.html,5502
WebSight_57.html,566
WebSight_133.html,696
WebSight_261.html,631
707.html,65030
WebSight_148.html,406
WebSight_236.html,950
WebSight_94.html,449
880.html,4777
WebSight_220.html,790
WebSight_82.html,562
603.html,77011
WebSight_109.html,1050
WebSight_277.html,572
75.html,69782
1118.html,103173
WebSight_298.html,963
341.html,12177
WebSight_4.html,684
654.html,91909
825.html,50447
WebSight_31.html,408
WebSight_293.html,830
WebSight_155.html,857
WebSight_66.html,318
WebSight_89.html,642
WebSight_102.html,540
864.html,36084
WebSight_70.html,973
WebSight_114.html,603
WebSight_27.html,548
87.html,122430
WebSight_285.html,441
425.html,136265
WebSight_143.html,551
WebSight_211.html,563
WebSight_138.html,328
WebSight_246.html,756
1083.html,52200
370.html,123516
WebSight_180.html,654
52.html,114135
WebSight_250.html,631
223.html,47356
673.html,94097
WebSight_179.html,816
WebSight_196.html,859
1187.html,8641
WebSight_207.html,454
274.html,33763
203.html,232745
WebSight_3.html,1007
WebSight_159.html,1050
983.html,312018
WebSight_270.html,701
829.html,78149
595.html,154926
604.html,58571
WebSight_227.html,680
WebSight_85.html,358
WebSight_118.html,681
WebSight_231.html,846
868.html,15294
WebSight_93.html,629
184.html,46944
WebSight_266.html,897
995.html,23236
