model,method,action_list_len,image_size,MAE,match_ratio
gpt4o,direct,16.0,7200000.0,69.9385933524173,1.0
gpt4o,direct,4.0,737280.0,77.37541519261006,0.75
gpt4o,direct,11.0,1910400.0,11.303201159591197,1.0
gpt4o,direct,7.0,1524480.0,34.373575078616355,1.0
gpt4o,direct,5.0,675840.0,101.46592163355407,1.0
gpt4o,direct,49.0,10039680.0,91.90392783533868,0.5102
gpt4o,direct,8.0,1507200.0,51.03846796383648,1.0
gpt4o,direct,4.0,1259520.0,44.97081613600629,1.0
gpt4o,direct,7.0,2384640.0,79.720598275593,1.0
gpt4o,direct,11.0,1910400.0,49.63770068413091,1.0
gpt4o,direct,3.0,3767040.0,40.29633571398869,1.0
gpt4o,direct,92.0,11057280.0,103.67929089443996,0.06522
gpt4o,direct,140.0,12174720.0,80.16751888559224,0.08571
gpt4o,direct,78.0,6512640.0,93.64202845660324,0.10256
gpt4o,direct,4.0,622080.0,83.96181702044025,1.0
gpt4o,direct,5.0,675840.0,53.34726071147799,1.0
gpt4o,direct,20.0,1910400.0,64.49614534198113,0.95
gpt4o,direct,165.0,10494720.0,101.20434245482076,0.14545
gpt4o,direct,91.0,10275840.0,112.91694060223134,0.23077
gpt4o,direct,4.0,768000.0,77.95100481525158,1.0
gpt4o,direct,1.0,1973760.0,34.20350992244526,1.0
gpt4o,direct,35.0,3158400.0,81.77713268169711,0.88571
gpt4o,direct,53.0,4344960.0,75.546876500096,0.2075499999999999
gpt4o,direct,12.0,9594240.0,100.35960087159864,1.0
gpt4o,direct,3.0,760320.0,75.19239632468553,1.0
gpt4o,direct,5.0,3125760.0,176.52975740447388,1.0
gpt4o,direct,30.0,7344000.0,66.60013882133593,1.0
gpt4o,direct,54.0,7184640.0,111.61863183001948,0.31481
gpt4o,direct,96.0,9285120.0,87.70003335385879,0.16667
gpt4o,direct,4.0,2440320.0,29.52498035318047,1.0
gpt4o,direct,2.0,3162240.0,38.07799301205391,1.0
gpt4o,direct,78.0,5516160.0,76.81351463511209,0.55128
gpt4o,direct,4.0,622080.0,82.4338780076291,1.0
gpt4o,direct,21.0,1378560.0,61.354771029874215,0.95238
gpt4o,direct,67.0,5387520.0,97.07712053571429,0.1940299999999999
gpt4o,direct,5.0,1489920.0,31.73067266116352,1.0
gpt4o,direct,52.0,2718720.0,55.16488277796198,0.15385
gpt4o,direct,55.0,2807040.0,18.67112692808493,1.0
gpt4o,direct,68.0,2999040.0,51.12323311047676,0.44118
gpt4o,direct,4.0,1820160.0,24.29551149764151,1.0
gpt4o,direct,119.0,4239360.0,71.41695049157303,0.02521
gpt4o,direct,2.0,2263680.0,27.17604664278132,1.0
gpt4o,direct,127.0,4757760.0,79.42851200810185,0.0315
gpt4o,direct,127.0,2507520.0,39.474010715996165,0.0866099999999999
gpt4o,direct,22.0,5781120.0,84.15717064481083,0.8636400000000001
gpt4o,direct,4.0,483840.0,81.51992678852201,1.0
gpt4o,direct,32.0,1002240.0,75.0860161163522,0.65625
gpt4o,direct,3.0,1198080.0,49.220432881289305,1.0
gpt4o,direct,2.0,1910400.0,53.51373820754717,1.0
gpt4o,direct,11.0,314880.0,108.18839671776728,1.0
gpt4o,direct,4.0,867840.0,74.84534198113208,1.0
gpt4o,direct,146.0,12984960.0,113.3319747171424,0.06164
gpt4o,direct,2.0,2538240.0,41.14827289003314,1.0
gpt4o,direct,7.0,1228800.0,45.112047955974845,1.0
gpt4o,direct,129.0,11894400.0,105.48232298259494,0.2092999999999999
gpt4o,direct,27.0,2605440.0,84.09148848684211,1.0
gpt4o,direct,48.0,2559360.0,51.62488813086854,0.625
gpt4o,direct,1.0,2309760.0,40.144936116536456,1.0
gpt4o,direct,4.0,445440.0,91.69953497023808,1.0
gpt4o,direct,4.0,2824320.0,37.36224988042092,1.0
gpt4o,direct,37.0,2699520.0,64.53136314895276,0.72973
gpt4o,direct,103.0,5207040.0,69.95373467714089,0.12621
gpt4o,direct,139.0,7651200.0,78.05986189998886,0.03597
gpt4o,direct,1.0,6309120.0,82.34329274665552,1.0
gpt4o,direct,1.0,2309760.0,17.635569254557293,1.0
